Date [s],Tav1d( J/K ) [<unknown>]
0,363.15
0.01,363.05
0.02,363.023
0.03,362.99
0.04,362.965
0.05,362.944
0.06,362.93
0.07,362.92
0.08,362.907
0.09,362.89
0.1,362.881
0.11,362.874
0.12,362.858
0.13,362.847
0.14,362.833
0.15,362.815
0.16,362.79
0.17,362.762
0.18,362.743
0.19,362.706
0.2,362.641
0.21,362.526
0.22,362.427
0.23,362.318
0.24,362.217
0.25,362.097
0.26,361.981
0.27,361.838
0.28,361.746
0.29,361.614
0.3,361.511
0.31,361.395
0.32,361.252
0.33,361.124
0.34,361.033
0.35,360.952
0.36,360.903
0.37,360.811
0.38,360.763
0.39,360.68
0.4,360.598
0.41,360.57
0.42,360.471
0.43,360.374
0.44,360.263
0.45,360.248
0.46,360.252
0.47,360.235
0.48,360.274
0.49,360.267
0.5,360.185
0.51,360.175
0.52,360.219
0.53,360.217
0.54,360.152
0.55,360.142
0.56,360.083
0.57,360.02
0.58,359.99
0.59,359.962
0.6,359.928
0.61,359.905
0.62,359.857
0.63,359.79
0.64,359.745
0.65,359.707
0.66,359.675
0.67,359.66
0.68,359.608
0.69,359.585
0.7,359.599
0.71,359.545
0.72,359.566
0.73,359.541
0.74,359.547
0.75,359.524
0.76,359.495
0.77,359.499
0.78,359.449
0.79,359.429
0.8,359.355
0.81,359.308
0.82,359.264
0.83,359.225
0.84,359.224
0.85,359.207
0.86,359.197
0.87,359.133
0.88,359.128
0.89,359.1
0.9,359.085
0.91,359.073
0.92,359.054
0.93,359.016
0.94,359.016
0.95,359.006
0.96,359.056
0.97,359.005
0.98,359.011
0.99,358.97
1,358.977
1.01,358.947
1.02,358.919
1.03,358.873
1.04,358.861
1.05,358.876
1.06,358.835
1.07,358.804
1.08,358.798
1.09,358.74
1.1,358.705
1.11,358.65
1.12,358.602
1.13,358.59
1.14,358.571
1.15,358.527
1.16,358.528
1.17,358.532
1.18,358.502
1.19,358.462
1.2,358.486
1.21,358.545
1.22,358.603
1.23,358.601
1.24,358.596
1.25,358.571
1.26,358.549
1.27,358.518
1.28,358.501
1.29,358.448
1.3,358.412
1.31,358.388
1.32,358.348
1.33,358.305
1.34,358.268
1.35,358.224
1.36,358.223
1.37,358.12
1.38,358.039
1.39,357.87
1.4,357.778
1.41,357.636
1.42,357.583
1.43,357.488
1.44,357.398
1.45,357.358
1.46,357.367
1.47,357.373
1.48,357.323
1.49,357.331
1.5,357.332
1.51,357.269
1.52,357.242
1.53,357.298
1.54,357.347
1.55,357.352
1.56,357.32
1.57,357.253
1.58,357.305
1.59,357.281
1.6,357.209
1.61,357.253
1.62,357.224
1.63,357.244
1.64,357.215
1.65,357.225
1.66,357.171
1.67,357.14
1.68,357.13
1.69,357.128
1.7,357.028
1.71,356.967
1.72,356.892
1.73,356.793
1.74,356.703
1.75,356.571
1.76,356.523
1.77,356.487
1.78,356.49
1.79,356.478
1.8,356.46
1.81,356.396
1.82,356.369
1.83,356.385
1.84,356.346
1.85,356.348
1.86,356.381
1.87,356.466
1.88,356.421
1.89,356.407
1.9,356.404
1.91,356.449
1.92,356.444
1.93,356.435
1.94,356.395
1.95,356.336
1.96,356.222
1.97,356.142
1.98,356.158
1.99,356.023
2,355.96
2.01,355.959
2.02,355.966
2.03,355.926
2.04,355.975
2.05,355.926
2.06,356.004
2.07,355.961
2.08,356.005
2.09,356.031
2.1,356.048
2.11,355.976
2.12,355.969
2.13,355.944
2.14,355.877
2.15,355.918
2.16,355.907
2.17,355.837
2.18,355.798
2.19,355.774
2.2,355.791
2.21,355.812
2.22,355.847
2.23,355.853
2.24,355.805
2.25,355.83
2.26,355.794
2.27,355.787
2.28,355.74
2.29,355.676
2.3,355.577
2.31,355.57
2.32,355.514
2.33,355.429
2.34,355.418
2.35,355.366
2.36,355.337
2.37,355.315
2.38,355.32
2.39,355.394
2.4,355.452
2.41,355.492
2.42,355.53
2.43,355.56
2.44,355.626
2.45,355.724
2.46,355.687
2.47,355.637
2.48,355.648
2.49,355.667
2.5,355.626
2.51,355.591
2.52,355.556
2.53,355.506
2.54,355.502
2.55,355.517
2.56,355.528
2.57,355.551
2.58,355.609
2.59,355.598
2.6,355.547
2.61,355.515
2.62,355.51
2.63,355.428
2.64,355.367
2.65,355.284
2.66,355.213
2.67,355.128
2.68,355.053
2.69,355.015
2.7,354.981
2.71,354.988
2.72,354.979
2.73,354.996
2.74,354.991
2.75,354.943
2.76,354.899
2.77,354.863
2.78,354.838
2.79,354.767
2.8,354.718
2.81,354.603
2.82,354.539
2.83,354.456
2.84,354.442
2.85,354.437
2.86,354.424
2.87,354.412
2.88,354.417
2.89,354.375
2.9,354.329
2.91,354.288
2.92,354.345
2.93,354.385
2.94,354.37
2.95,354.414
2.96,354.387
2.97,354.318
2.98,354.29
2.99,354.259
3,354.231
3.01,354.244
3.02,354.253
3.03,354.217
3.04,354.183
3.05,354.166
3.06,354.141
3.07,354.169
3.08,354.16
3.09,354.195
3.1,354.206
3.11,354.143
3.12,354.118
3.13,354.1
3.14,353.993
3.15,353.962
3.16,353.963
3.17,353.956
3.18,353.962
3.19,353.914
3.2,353.909
3.21,353.91
3.22,353.92
3.23,353.88
3.24,353.806
3.25,353.783
3.26,353.791
3.27,353.779
3.28,353.826
3.29,353.81
3.3,353.861
3.31,353.836
3.32,353.743
3.33,353.74
3.34,353.723
3.35,353.653
3.36,353.608
3.37,353.524
3.38,353.454
3.39,353.393
3.4,353.333
3.41,353.261
3.42,353.224
3.43,353.172
3.44,353.191
3.45,353.192
3.46,353.152
3.47,353.115
3.48,353.024
3.49,352.965
3.5,352.928
3.51,352.925
3.52,352.851
3.53,352.831
3.54,352.894
3.55,352.919
3.56,352.97
3.57,352.97
3.58,353.002
3.59,353.05
3.6,353.11
3.61,353.122
3.62,353.123
3.63,353.098
3.64,353.125
3.65,353.094
3.66,353.031
3.67,352.996
3.68,352.973
3.69,352.951
3.7,352.912
3.71,352.895
3.72,352.872
