Date [s],Tave( B/C ) [<unknown>]
0,363.15
0.01,363.011
0.02,362.976
0.03,362.944
0.04,362.912
0.05,362.89
0.06,362.863
0.07,362.836
0.08,362.821
0.09,362.808
0.1,362.788
0.11,362.763
0.12,362.746
0.13,362.725
0.14,362.691
0.15,362.663
0.16,362.627
0.17,362.593
0.18,362.54
0.19,362.497
0.2,362.465
0.21,362.424
0.22,362.369
0.23,362.311
0.24,362.264
0.25,362.205
0.26,362.141
0.27,362.088
0.28,362.016
0.29,361.945
0.3,361.878
0.31,361.804
0.32,361.748
0.33,361.707
0.34,361.633
0.35,361.585
0.36,361.521
0.37,361.474
0.38,361.424
0.39,361.383
0.4,361.326
0.41,361.254
0.42,361.165
0.43,361.042
0.44,360.945
0.45,360.841
0.46,360.726
0.47,360.627
0.48,360.542
0.49,360.468
0.5,360.376
0.51,360.297
0.52,360.204
0.53,360.139
0.54,360.087
0.55,360.033
0.56,359.997
0.57,359.992
0.58,359.962
0.59,359.936
0.6,359.905
0.61,359.859
0.62,359.835
0.63,359.799
0.64,359.779
0.65,359.748
0.66,359.727
0.67,359.686
0.68,359.686
0.69,359.672
0.7,359.639
0.71,359.615
0.72,359.577
0.73,359.549
0.74,359.528
0.75,359.559
0.76,359.539
0.77,359.578
0.78,359.591
0.79,359.624
0.8,359.623
0.81,359.655
0.82,359.632
0.83,359.581
0.84,359.556
0.85,359.537
0.86,359.507
0.87,359.528
0.88,359.526
0.89,359.57
0.9,359.549
0.91,359.506
0.92,359.488
0.93,359.492
0.94,359.463
0.95,359.469
0.96,359.456
0.97,359.439
0.98,359.432
0.99,359.401
1,359.34
1.01,359.257
1.02,359.218
1.03,359.153
1.04,359.096
1.05,359.044
1.06,359.068
1.07,359.065
1.08,359.068
1.09,359.089
1.1,359.081
1.11,359.094
1.12,359.06
1.13,359.08
1.14,359.047
1.15,359.075
1.16,359.082
1.17,359.071
1.18,359.102
1.19,359.127
1.2,359.12
1.21,359.089
1.22,359.053
1.23,359.08
1.24,359.072
1.25,359.015
1.26,359.016
1.27,358.985
1.28,358.97
1.29,358.988
1.3,358.947
1.31,358.936
1.32,358.909
1.33,358.834
1.34,358.79
1.35,358.742
1.36,358.7
1.37,358.688
1.38,358.667
1.39,358.668
1.4,358.623
1.41,358.58
1.42,358.595
1.43,358.524
1.44,358.491
1.45,358.448
1.46,358.441
1.47,358.432
1.48,358.428
1.49,358.4
1.5,358.39
1.51,358.394
1.52,358.369
1.53,358.305
1.54,358.303
1.55,358.261
1.56,358.261
1.57,358.237
1.58,358.204
1.59,358.169
1.6,358.132
1.61,358.071
1.62,358.042
1.63,357.99
1.64,357.994
1.65,357.938
1.66,357.918
1.67,357.897
1.68,357.875
1.69,357.905
1.7,357.881
1.71,357.866
1.72,357.813
1.73,357.764
1.74,357.764
1.75,357.683
1.76,357.633
1.77,357.581
1.78,357.574
1.79,357.531
1.8,357.538
1.81,357.495
1.82,357.516
1.83,357.455
1.84,357.421
1.85,357.388
1.86,357.327
1.87,357.225
1.88,357.264
1.89,357.264
1.9,357.213
1.91,357.175
1.92,357.164
1.93,357.108
1.94,357.093
1.95,357.07
1.96,357.013
1.97,356.947
1.98,356.873
1.99,356.883
2,356.882
2.01,356.874
2.02,356.848
2.03,356.784
2.04,356.694
2.05,356.637
2.06,356.642
2.07,356.626
2.08,356.596
2.09,356.56
2.1,356.566
2.11,356.581
2.12,356.607
2.13,356.571
2.14,356.561
2.15,356.499
2.16,356.511
2.17,356.554
2.18,356.567
2.19,356.594
2.2,356.626
2.21,356.627
2.22,356.641
2.23,356.599
2.24,356.597
2.25,356.588
2.26,356.566
2.27,356.573
2.28,356.568
2.29,356.565
2.3,356.525
2.31,356.504
2.32,356.495
2.33,356.472
2.34,356.461
2.35,356.47
2.36,356.463
2.37,356.452
2.38,356.448
2.39,356.421
2.4,356.368
2.41,356.379
2.42,356.342
2.43,356.325
2.44,356.305
2.45,356.332
2.46,356.373
2.47,356.375
2.48,356.324
2.49,356.309
2.5,356.314
2.51,356.279
2.52,356.262
2.53,356.253
2.54,356.23
2.55,356.185
2.56,356.142
2.57,356.089
2.58,356.054
2.59,356.05
2.6,356.021
2.61,356.01
2.62,356.008
2.63,355.991
2.64,355.926
2.65,355.871
2.66,355.831
2.67,355.797
2.68,355.77
2.69,355.758
2.7,355.742
2.71,355.75
2.72,355.744
2.73,355.766
2.74,355.795
2.75,355.79
2.76,355.799
2.77,355.837
2.78,355.834
2.79,355.79
2.8,355.819
2.81,355.822
2.82,355.797
2.83,355.776
2.84,355.819
2.85,355.836
2.86,355.837
2.87,355.842
2.88,355.861
2.89,355.844
2.9,355.845
2.91,355.877
2.92,355.903
2.93,355.909
2.94,355.908
2.95,355.901
2.96,355.889
2.97,355.834
2.98,355.817
2.99,355.797
3,355.819
3.01,355.825
3.02,355.829
3.03,355.836
3.04,355.784
3.05,355.781
3.06,355.765
3.07,355.746
3.08,355.73
3.09,355.731
3.1,355.704
3.11,355.631
3.12,355.601
3.13,355.568
3.14,355.497
3.15,355.449
3.16,355.408
3.17,355.378
3.18,355.364
3.19,355.359
3.2,355.351
3.21,355.36
3.22,355.333
3.23,355.359
3.24,355.348
3.25,355.329
3.26,355.347
3.27,355.309
3.28,355.265
3.29,355.246
3.3,355.218
3.31,355.154
3.32,355.085
3.33,355.038
3.34,355.026
3.35,355.008
3.36,355.019
3.37,355.002
3.38,354.955
3.39,354.979
3.4,354.969
3.41,354.963
3.42,354.909
3.43,354.89
3.44,354.867
3.45,354.842
3.46,354.822
3.47,354.839
3.48,354.853
3.49,354.847
3.5,354.828
3.51,354.813
3.52,354.786
3.53,354.784
3.54,354.77
3.55,354.743
3.56,354.702
3.57,354.668
3.58,354.665
3.59,354.613
3.6,354.588
3.61,354.586
3.62,354.59
3.63,354.581
3.64,354.596
3.65,354.607
3.66,354.604
3.67,354.585
3.68,354.557
3.69,354.518
3.7,354.472
3.71,354.457
3.72,354.427
3.73,354.4
3.74,354.359
3.75,354.343
3.76,354.351
3.77,354.356
3.78,354.364
3.79,354.401
3.8,354.39
3.81,354.356
3.82,354.343
3.83,354.346
3.84,354.348
3.85,354.325
3.86,354.317
3.87,354.331
3.88,354.306
3.89,354.327
3.9,354.342
3.91,354.367
3.92,354.368
3.93,354.344
3.94,354.307
3.95,354.28
3.96,354.238
3.97,354.194
3.98,354.185
3.99,354.17
4,354.16
4.01,354.128
4.02,354.085
4.03,354.066
4.04,354.038
4.05,354.014
4.06,353.993
4.07,353.973
4.08,354.002
4.09,354.004
4.1,354.002
4.11,354.003
4.12,354.008
4.13,353.984
4.14,353.982
4.15,353.957
4.16,353.958
4.17,353.95
4.18,353.976
4.19,353.999
4.2,354.02
4.21,354.022
4.22,354.008
4.23,353.99
4.24,353.931
4.25,353.893
4.26,353.856
4.27,353.836
4.28,353.82
4.29,353.801
4.3,353.78
4.31,353.778
4.32,353.753
4.33,353.734
4.34,353.713
4.35,353.699
4.36,353.691
4.37,353.665
4.38,353.623
4.39,353.619
4.4,353.577
4.41,353.532
4.42,353.521
4.43,353.493
4.44,353.485
4.45,353.492
4.46,353.504
4.47,353.505
4.48,353.504
4.49,353.51
4.5,353.481
4.51,353.434
4.52,353.408
4.53,353.386
4.54,353.393
4.55,353.395
4.56,353.381
4.57,353.362
4.58,353.347
4.59,353.306
4.6,353.235
4.61,353.212
4.62,353.171
4.63,353.183
4.64,353.167
4.65,353.15
4.66,353.158
4.67,353.131
4.68,353.141
4.69,353.148
4.7,353.146
4.71,353.127
4.72,353.083
4.73,353.064
4.74,353.054
4.75,353.005
4.76,352.963
4.77,352.937
4.78,352.858
4.79,352.834
4.8,352.82
4.81,352.808
4.82,352.78
4.83,352.766
4.84,352.792
4.85,352.775
4.86,352.774
4.87,352.757
4.88,352.742
4.89,352.699
4.9,352.693
4.91,352.678
4.92,352.643
4.93,352.577
4.94,352.528
4.95,352.495
4.96,352.431
4.97,352.415
4.98,352.44
4.99,352.43
5,352.38
5.01,352.377
5.02,352.406
5.03,352.409
5.04,352.409
5.05,352.45
5.06,352.458
5.07,352.47
5.08,352.482
5.09,352.484
5.1,352.442
5.11,352.453
5.12,352.41
5.13,352.363
5.14,352.364
5.15,352.399
5.16,352.403
5.17,352.399
5.18,352.423
5.19,352.437
5.2,352.457
5.21,352.412
5.22,352.388
5.23,352.402
5.24,352.34
5.25,352.314
5.26,352.249
5.27,352.246
5.28,352.22
5.29,352.157
5.3,352.15
5.31,352.124
5.32,352.124
5.33,352.121
5.34,352.098
5.35,352.084
5.36,352.079
5.37,352.034
5.38,352.028
5.39,352.009
5.4,351.994
5.41,351.975
5.42,351.975
5.43,351.891
5.44,351.851
5.45,351.81
5.46,351.817
5.47,351.824
5.48,351.829
5.49,351.813
5.5,351.815
5.51,351.792
5.52,351.772
5.53,351.758
5.54,351.729
5.55,351.67
5.56,351.662
5.57,351.64
5.58,351.65
5.59,351.597
5.6,351.531
5.61,351.471
