Date [s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-1.65059e-08,-2.23675e-08,-7.13467e-08,-3.73264e-07,1.37128e-07
0.02,1.7805e-06,2.58733e-06,5.06864e-06,2.89554e-06,-1.99179e-06
0.04,7.7308e-08,4.79199e-06,7.08594e-06,5.11549e-06,1.66945e-06
0.06,1.19854e-06,3.39383e-06,4.74147e-06,3.57827e-06,1.23418e-06
0.08,3.1948e-07,1.49521e-06,2.95002e-06,2.21791e-06,6.53201e-07
0.1,4.34279e-07,1.49021e-06,7.35795e-07,9.92901e-07,1.00571e-07
0.12,4.50732e-07,1.33772e-06,9.36031e-07,2.97694e-07,1.95809e-08
0.14,2.02278e-07,6.42372e-07,-5.89401e-07,-4.46113e-07,-3.71485e-07
0.16,-1.16572e-08,-3.16701e-07,-7.5192e-07,-1.46769e-06,-3.65221e-07
0.18,1.59874e-07,-1.83039e-07,-1.07397e-06,-6.9392e-07,-5.04624e-07
0.2,2.40262e-08,1.7912e-07,-7.30528e-07,-5.92402e-08,-3.12411e-07
0.22,1.82871e-07,3.5919e-07,-3.03876e-07,1.07305e-07,-7.40632e-08
0.24,1.06256e-07,2.73119e-07,9.9025e-08,4.20441e-08,1.8823e-08
0.26,-7.26066e-08,9.54808e-08,9.21627e-08,2.27561e-07,6.16062e-09
0.28,-2.28651e-08,1.68333e-07,3.12974e-08,1.99656e-07,7.67954e-08
0.3,1.65615e-07,6.71821e-08,1.995e-08,3.43783e-07,1.5075e-07
0.32,3.62381e-07,1.66322e-07,-1.9992e-07,6.04e-07,2.70109e-07
0.34,3.04948e-07,1.57202e-07,3.6847e-08,9.27612e-08,-3.03844e-08
0.36,3.51161e-07,1.20985e-07,1.60653e-07,2.50517e-07,1.54398e-07
0.38,3.10466e-07,1.24712e-07,1.8568e-07,2.56588e-07,2.36089e-07
0.4,1.5103e-07,1.49218e-07,2.44559e-07,2.73093e-07,2.47275e-07
0.42,4.77642e-08,1.83607e-07,2.97682e-07,2.52605e-07,2.27268e-07
0.44,5.76226e-08,2.67493e-07,2.84687e-07,4.75166e-07,1.65194e-07
0.46,6.40771e-09,5.25322e-08,4.49583e-07,5.31892e-07,3.13089e-07
0.48,4.77636e-07,2.42685e-07,3.15915e-07,9.45624e-07,1.06798e-06
0.5,6.55341e-07,8.39655e-07,6.12875e-07,5.26888e-07,3.02173e-07
0.52,7.62498e-07,7.28598e-07,1.00622e-06,7.08828e-07,4.76533e-07
0.54,3.2644e-07,7.33808e-07,9.28241e-07,9.04586e-07,6.57483e-07
0.56,1.88306e-07,3.81903e-07,1.69452e-06,2.77972e-07,7.84208e-07
0.58,5.52103e-07,1.37961e-06,1.92233e-06,1.61416e-06,8.91541e-07
0.6,4.75037e-07,1.27901e-06,1.59918e-06,1.05415e-06,7.74226e-07
0.62,1.0382e-06,1.34458e-06,6.85821e-07,2.61245e-07,-6.03187e-08
0.64,1.12114e-06,1.1411e-06,1.46003e-06,1.6841e-06,1.2849e-06
0.66,1.88311e-06,3.01816e-06,9.21209e-07,8.2677e-07,1.04685e-06
0.68,1.55406e-06,2.13501e-06,1.75269e-06,2.13579e-06,1.24167e-06
0.7,8.05812e-07,4.89889e-06,3.51169e-06,2.2025e-06,1.68871e-06
0.72,2.56609e-06,2.94477e-06,2.32656e-06,2.83941e-06,2.46657e-06
0.74,1.05407e-06,2.90597e-06,3.4464e-06,3.51632e-06,2.96844e-06
0.76,2.68288e-06,4.50179e-06,4.34729e-06,4.39991e-06,3.13195e-06
0.78,3.46734e-06,-5.03077e-06,4.51972e-06,3.36675e-06,3.27144e-06
0.8,2.70446e-06,3.02008e-06,4.15993e-06,4.50416e-06,3.44298e-06
0.82,5.31742e-06,6.30638e-06,5.97353e-06,6.02409e-06,1.26952e-05
0.84,5.7665e-06,4.05418e-06,7.85926e-06,1.0905e-05,4.86872e-05
0.86,4.80166e-05,6.06337e-06,1.67742e-06,3.3562e-06,5.933e-05
0.88,0.000222423,7.36234e-06,5.08007e-06,4.08509e-06,9.18823e-05
0.9,0.000331561,1.11585e-05,9.52699e-06,9.85418e-06,0.000178319
0.92,0.00015725,9.43602e-06,1.35839e-05,8.65964e-06,0.000469822
0.94,0.000400101,6.62423e-05,9.62529e-05,2.96099e-05,0.00034189
0.96,0.000186343,0.000198424,0.000189879,8.23e-05,0.000174173
0.98,0.000290273,0.000263492,0.000196365,0.000176415,0.000256244
1,0.000965486,0.000313679,0.000346094,0.000364457,0.000445638
1.02,0.00261148,0.00156043,0.0014755,0.0017802,0.00206924
1.04,0.0064394,0.00579413,0.00523034,0.00581031,0.00585432
1.06,0.0126946,0.0127399,0.0124628,0.0128481,0.0129389
1.08,0.021886,0.022265,0.0218101,0.0221391,0.0221215
1.1,0.0344432,0.0343411,0.0326956,0.0326483,0.0342255
1.12,0.0461355,0.0467387,0.0446229,0.0443472,0.0468798
1.14,0.0618883,0.058982,0.056892,0.0589438,0.061654
1.16,0.0764935,0.0725597,0.0711365,0.0735946,0.0758255
1.18,0.0925454,0.0893925,0.0869735,0.0898129,0.0920122
1.2,0.112231,0.108435,0.104084,0.108551,0.109498
1.22,0.125588,0.124216,0.12064,0.124819,0.123448
1.24,0.13135,0.130398,0.125953,0.13131,0.132071
1.26,0.127141,0.1209,0.114505,0.120515,0.126395
1.28,0.0964498,0.0886153,0.0857337,0.0877253,0.0973728
1.3,0.0447352,0.0269177,0.0243827,0.0349177,0.0466395
1.32,-0.030673,-0.0725765,-0.0842195,-0.0743666,-0.0368053
1.34,-0.0889598,-0.161571,-0.171333,-0.167524,-0.09045
1.36,-0.101216,-0.175246,-0.19499,-0.171566,-0.110611
1.38,-0.0884851,-0.153815,-0.131506,-0.145045,-0.103122
1.4,-0.0746566,-0.0843042,-0.0649456,-0.0996913,-0.0660675
1.42,-0.0303483,-0.0512669,0.000124874,-0.0216207,-0.037398
1.44,0.0113976,0.0323459,0.0775276,0.0250507,0.00645331
1.46,0.0360236,0.0893126,0.147975,0.079879,0.01131
1.48,0.041599,0.134548,0.191027,0.124295,0.0317777
1.5,0.0423726,0.158227,0.2303,0.149454,0.0374488
1.52,0.0407585,0.161455,0.251446,0.160148,0.0375782
1.54,0.0363618,0.158942,0.25647,0.149841,0.0336363
1.56,0.0225655,0.131731,0.242219,0.125314,0.0192172
1.58,0.00195382,0.0806309,0.150958,0.0837498,-0.00210742
1.6,-0.0219744,-0.0106223,-0.0443723,-0.024599,-0.0368272
1.62,-0.0592107,-0.113156,-0.198907,-0.136823,-0.0914336
1.64,-0.0994834,-0.13407,-0.276135,-0.143693,-0.114783
1.66,-0.109904,-0.0854236,0.0969144,-0.0574199,-0.123177
1.68,-0.111135,-0.0150114,0.30106,0.0334979,-0.104197
1.7,-0.092222,0.0679553,0.483531,0.139144,-0.0791617
1.72,-0.104691,0.120592,0.623054,0.19634,-0.110319
1.74,-0.156612,0.0801981,0.521976,0.122029,-0.181091
1.76,-0.253913,-0.0564912,0.240226,-0.0416902,-0.276579
1.78,-0.361452,-0.19944,0.11351,-0.190963,-0.370555
1.8,-0.426423,-0.310715,0.0639318,-0.293259,-0.442275
1.82,-0.409837,-0.314032,0.110331,-0.267103,-0.417562
1.84,-0.301158,-0.074909,0.418779,-0.0355129,-0.305947
1.86,-0.183291,0.0722413,0.547816,0.101898,-0.165396
1.88,-0.0785621,0.150642,0.537379,0.183228,-0.0550733
1.9,0.000370466,0.207264,0.590428,0.252877,0.0221115
1.92,0.0548472,0.257835,0.615926,0.309003,0.0635402
1.94,0.101949,0.294059,0.606874,0.349593,0.108187
1.96,0.163932,0.348038,0.601579,0.381585,0.152928
1.98,0.210103,0.360502,0.514779,0.38696,0.17887
2,0.188245,0.296117,0.327707,0.299159,0.143766
2.02,0.0960567,0.14487,0.154374,0.155191,0.0537818
2.04,-0.0439534,-0.0145106,-0.0251084,-0.00517352,-0.0692323
2.06,-0.183344,-0.159575,-0.168642,-0.140315,-0.205401
2.08,-0.311637,-0.278776,-0.302694,-0.26225,-0.322468
2.1,-0.431721,-0.407959,-0.404898,-0.365454,-0.435596
2.12,-0.546806,-0.50567,-0.496792,-0.458332,-0.544661
2.14,-0.644144,-0.596686,-0.564035,-0.541457,-0.628088
2.16,-0.717196,-0.628866,-0.639952,-0.431289,-0.584089
2.18,-0.661656,-0.509044,-0.59018,-0.291878,-0.525768
2.2,-0.64541,-0.463426,-0.397358,-0.251143,-0.487276
2.22,-0.602788,-0.467895,-0.301197,-0.288127,-0.527705
2.24,-0.632779,-0.455667,-0.254659,-0.278256,-0.562511
2.26,-0.56696,-0.265176,-0.0878685,-0.150392,-0.557616
2.28,-0.390604,0.0721004,0.307963,0.0830895,-0.465414
2.3,-0.257738,0.239813,0.50527,0.253822,-0.330688
2.32,-0.153088,0.30665,0.616725,0.357487,-0.200889
2.34,-0.0786579,0.351778,0.71382,0.410332,-0.115921
2.36,-0.0386594,0.403822,0.76607,0.470774,-0.0527214
2.38,-0.0130231,0.407757,0.770948,0.480687,-0.0661514
2.4,-0.0471911,0.371764,0.646939,0.38646,-0.102442
2.42,-0.126775,0.25779,0.427881,0.225521,-0.165713
2.44,-0.225779,0.111724,0.229952,0.0694848,-0.303492
2.46,-0.382328,-0.0462169,0.104181,-0.0961676,-0.489766
2.48,-0.563492,-0.19927,0.0143787,-0.230216,-0.664225
2.5,-0.688291,-0.316014,-0.046864,-0.303423,-0.657783
2.52,-0.582532,-0.304797,0.053744,-0.235324,-0.515711
2.54,-0.343956,-0.0284591,0.340488,-0.0266605,-0.307447
2.56,-0.228735,0.14697,0.500481,0.169517,-0.205228
2.58,-0.0644824,0.255029,0.576449,0.319412,-0.129032
2.6,0.0677308,0.353814,0.637603,0.453913,0.0220906
2.62,0.0223768,0.446015,0.710198,0.542034,0.0209255
2.64,-0.0293268,0.417113,0.692674,0.549145,0.00444032
2.66,-0.041717,0.387935,0.56118,0.494178,0.00974151
2.68,-0.0953818,0.279821,0.346055,0.290599,-0.0419029
2.7,-0.187106,0.135889,0.173559,0.13296,-0.139431
2.72,-0.296895,-0.0238829,0.0181855,-0.0164796,-0.259554
2.74,-0.426897,-0.166411,-0.110358,-0.117801,-0.383647
2.76,-0.54927,-0.30618,-0.196045,-0.212655,-0.492588
2.78,-0.607869,-0.431117,-0.275331,-0.327065,-0.554863
2.8,-0.603501,-0.517367,-0.299912,-0.336683,-0.486706
2.82,-0.513453,-0.425696,-0.181603,-0.172342,-0.410827
2.84,-0.435185,-0.14293,0.575966,0.0995848,-0.296795
2.86,-0.386858,-0.0183019,0.840001,0.334865,-0.170155
2.88,-0.319219,0.0203857,0.878982,0.49536,-0.0921385
2.9,-0.23311,0.0649001,0.815361,0.544476,-0.108375
2.92,-0.153974,0.100874,0.746262,0.544503,-0.107096
2.94,-0.0945303,0.158157,0.71333,0.473271,-0.130284
2.96,-0.0973623,0.190293,0.666048,0.381304,-0.129221
2.98,-0.121967,0.168804,0.556408,0.272294,-0.135532
3,-0.196014,0.0818101,0.440905,0.156982,-0.164147
3.02,-0.325857,-0.0226396,0.362995,0.0941299,-0.222568
3.04,-0.432707,-0.109967,0.33605,0.0591138,-0.278404
3.06,-0.525175,-0.144386,0.396734,0.0692084,-0.296755
3.08,-0.502042,-0.118974,0.420136,0.100383,-0.300243
3.1,-0.452252,-0.0429831,0.357686,0.109675,-0.302692
3.12,-0.368377,0.0585404,0.355207,0.143427,-0.233391
3.14,-0.229923,0.178925,0.448359,0.22657,-0.182774
3.16,-0.137828,0.269269,0.559557,0.297014,-0.151219
3.18,-0.0317749,0.304497,0.570491,0.269382,-0.136824
3.2,0.00850002,0.283303,0.412961,0.162773,-0.173449
3.22,0.00758474,0.279823,0.351113,0.0924926,-0.216078
3.24,-0.00799467,0.329514,0.54928,0.162683,-0.200543
3.26,-0.0409084,0.361929,0.682724,0.245859,-0.179512
3.28,-0.0930723,0.297775,0.537234,0.223961,-0.16774
3.3,-0.188114,0.140197,0.237971,0.122287,-0.19911
3.32,-0.301455,-0.01004,0.0640228,0.0236873,-0.257122
3.34,-0.429405,-0.134647,6.86907e-05,-0.0369927,-0.331052
3.36,-0.538485,-0.246424,0.0592039,-0.0807657,-0.408527
3.38,-0.533099,-0.251941,0.223656,-0.0849468,-0.478587
3.4,-0.329884,0.063746,0.42239,-0.0526676,-0.509548
3.42,-0.172996,0.253153,0.61728,-0.0262442,-0.486627
3.44,-0.169746,0.195676,0.549011,-0.0192959,-0.475008
3.46,-0.19763,0.111458,0.425973,-0.0610959,-0.449851
3.48,-0.155451,0.113952,0.697829,0.0563591,-0.404466
3.5,-0.115384,0.150654,0.801895,0.357752,-0.345007
3.52,-0.0733329,0.189587,0.771665,0.461169,-0.259993
3.54,-0.0443573,0.19925,0.689789,0.338169,-0.198798
3.56,-0.0388459,0.163403,0.552434,0.267375,-0.181277
3.58,-0.0653843,0.0675436,0.357441,0.226823,-0.197876
3.6,-0.112737,-0.0223365,0.228677,0.19885,-0.247863
3.62,-0.16446,-0.0866459,0.233565,0.175136,-0.317339
3.64,-0.211323,-0.117223,0.239805,0.164415,-0.393385
3.66,-0.255992,-0.142418,0.258529,0.164299,-0.461846
3.68,-0.294755,-0.15613,0.224117,0.175055,-0.509642
3.7,-0.310219,-0.148899,0.200769,0.219752,-0.537145
3.72,-0.289375,-0.0838629,0.211642,0.253395,-0.525923
3.74,-0.231003,-0.00219223,0.295915,0.425201,-0.416646
3.76,-0.16041,0.0472003,0.40508,0.597586,-0.267418
3.78,-0.139521,0.077739,0.43797,0.63007,-0.0671294
3.8,-0.113422,0.0868327,0.358924,0.487086,-0.0522042
3.82,-0.0807767,0.104739,0.354741,0.390838,-0.052301
3.84,-0.0538037,0.122119,0.471492,0.437072,-0.0735381
3.86,-0.0650636,0.0991398,0.459048,0.459728,-0.101181
3.88,-0.108678,0.0173438,0.256657,0.310569,-0.164077
3.9,-0.178187,-0.0974184,0.0828102,0.155195,-0.262819
3.92,-0.251489,-0.21356,-0.0139843,0.0565097,-0.362628
3.94,-0.316996,-0.298854,0.0122626,-0.0100874,-0.42608
3.96,-0.360573,-0.222179,0.129033,-0.0394033,-0.480455
3.98,-0.335817,-0.087302,0.322433,0.0810052,-0.481521
4,-0.303876,0.0288151,0.516746,0.243563,-0.376411
4.02,-0.264111,0.0624865,0.65009,0.345688,-0.259265
4.04,-0.156591,0.10489,0.67131,0.220739,-0.261962
4.06,-0.0930609,0.0982562,0.440355,0.166242,-0.213219
4.08,-0.0983038,0.0332328,0.26883,0.113345,-0.194353
4.1,-0.129455,-0.0211921,0.282866,0.106262,-0.196875
4.12,-0.156983,-0.0416253,0.357355,0.114427,-0.197719
4.14,-0.173388,-0.0306433,0.384819,0.106512,-0.195929
4.16,-0.168172,0.0174095,0.4411,0.186933,-0.195959
4.18,-0.134162,0.065451,0.542597,0.341969,-0.166553
4.2,-0.0807208,0.105173,0.615017,0.401866,-0.124458
4.22,-0.00612926,0.145567,0.548925,0.339371,-0.105762
4.24,0.0337036,0.179908,0.51072,0.289954,-0.0985165
4.26,0.0512509,0.183998,0.406272,0.149921,-0.120776
4.28,0.0274964,0.163649,0.218819,-0.0110896,-0.181107
4.3,-0.0225155,0.0991218,0.0641352,-0.115377,-0.251176
4.32,-0.0772189,0.0455648,0.0721747,-0.128748,-0.313542
4.34,-0.0971768,0.172199,0.154337,-0.0153845,-0.351501
4.36,-0.00762604,0.371724,0.285276,0.160893,-0.333561
4.38,0.0239194,0.403087,0.464583,0.326304,-0.242303
4.4,0.0342563,0.449767,0.617232,0.388611,-0.156768
4.42,0.0303826,0.491511,0.660354,0.344818,-0.135954
4.44,-0.0190019,0.356238,0.283064,0.231382,-0.143003
4.46,-0.0899702,0.163608,0.0854734,0.0872417,-0.186215
4.48,-0.206935,-0.00169484,0.00100056,0.00447339,-0.252135
4.5,-0.297342,-0.04506,0.20171,-0.0275036,-0.331311
4.52,-0.29614,0.293085,0.35996,-0.0635428,-0.413676
4.54,-0.274854,0.406163,0.453097,-0.0988139,-0.494366
4.56,-0.266646,0.427248,0.578042,-0.0935443,-0.54597
4.58,-0.224924,0.515488,0.777101,0.00908943,-0.513934
4.6,-0.174614,0.597406,0.88932,0.142335,-0.434236
4.62,-0.117329,0.53001,0.733506,0.174133,-0.330418
4.64,-0.12209,0.352561,0.517241,0.14766,-0.308261
4.66,-0.123724,0.392269,0.607436,0.152006,-0.313639
4.68,-0.140452,0.514871,0.699716,0.144494,-0.343951
4.7,-0.0918484,0.539966,0.671036,0.109854,-0.395298
4.72,-0.0466477,0.509417,0.672813,0.0789167,-0.431042
4.74,-0.00157835,0.529025,0.715358,0.0900915,-0.46966
4.76,-0.00127979,0.520897,0.660641,0.105313,-0.482763
4.78,-0.0232819,0.45763,0.576827,0.0861033,-0.486972
4.8,-0.0797217,0.410225,0.497086,0.0715501,-0.456768
